0 0.01 0.04 0.09 0.16 0.25 0.36 0.49 0.64 0.81 1 1.21 1.44 1.69 1.96 2.25 2.56 2.89 3.24 3.61 4 4.41 4.84 5.29 5.76 6.25 6.76 7.29 7.84 8.41 9 9.61 10.24 10.89 11.56 12.25 12.96 13.69 14.44 15.21 16 16.81 17.64 18.49 19.36 20.25 21.16 22.09 23.04 24.01 25 26.01 27.04 28.09 29.16 30.25 31.36 32.49 33.64 34.81 36 37.21 38.44 39.69 40.96 42.25 43.56 44.89 46.24 47.61 49 50.41 51.84 53.29 54.76 56.25 57.76 59.29 60.84 62.41 64 65.61 67.24 68.89 70.56 72.25 73.96 75.69 77.44 79.21 81 82.81 84.64 86.49 88.36 90.25 92.16 94.09 96.04 98.01 
0.01 0.02 0.05 0.1 0.17 0.26 0.37 0.5 0.65 0.82 1.01 1.22 1.45 1.7 1.97 2.26 2.57 2.9 3.25 3.62 4.01 4.42 4.85 5.3 5.77 6.26 6.77 7.3 7.85 8.42 9.01 9.62 10.25 10.9 11.57 12.26 12.97 13.7 14.45 15.22 16.01 16.82 17.65 18.5 19.37 20.26 21.17 22.1 23.05 24.02 25.01 26.02 27.05 28.1 29.17 30.26 31.37 32.5 33.65 34.82 36.01 37.22 38.45 39.7 40.97 42.26 43.57 44.9 46.25 47.62 49.01 50.42 51.85 53.3 54.77 56.26 57.77 59.3 60.85 62.42 64.01 65.62 67.25 68.9 70.57 72.26 73.97 75.7 77.45 79.22 81.01 82.82 84.65 86.5 88.37 90.26 92.17 94.1 96.05 98.02 
0.04 0.05 0.08 0.13 0.2 0.29 0.4 0.53 0.68 0.85 1.04 1.25 1.48 1.73 2 2.29 2.6 2.93 3.28 3.65 4.04 4.45 4.88 5.33 5.8 6.29 6.8 7.33 7.88 8.45 9.04 9.65 10.28 10.93 11.6 12.29 13 13.73 14.48 15.25 16.04 16.85 17.68 18.53 19.4 20.29 21.2 22.13 23.08 24.05 25.04 26.05 27.08 28.13 29.2 30.29 31.4 32.53 33.68 34.85 36.04 37.25 38.48 39.73 41 42.29 43.6 44.93 46.28 47.65 49.04 50.45 51.88 53.33 54.8 56.29 57.8 59.33 60.88 62.45 64.04 65.65 67.28 68.93 70.6 72.29 74 75.73 77.48 79.25 81.04 82.85 84.68 86.53 88.4 90.29 92.2 94.13 96.08 98.05 
0.09 0.1 0.13 0.18 0.25 0.34 0.45 0.58 0.73 0.9 1.09 1.3 1.53 1.78 2.05 2.34 2.65 2.98 3.33 3.7 4.09 4.5 4.93 5.38 5.85 6.34 6.85 7.38 7.93 8.5 9.09 9.7 10.33 10.98 11.65 12.34 13.05 13.78 14.53 15.3 16.09 16.9 17.73 18.58 19.45 20.34 21.25 22.18 23.13 24.1 25.09 26.1 27.13 28.18 29.25 30.34 31.45 32.58 33.73 34.9 36.09 37.3 38.53 39.78 41.05 42.34 43.65 44.98 46.33 47.7 49.09 50.5 51.93 53.38 54.85 56.34 57.85 59.38 60.93 62.5 64.09 65.7 67.33 68.98 70.65 72.34 74.05 75.78 77.53 79.3 81.09 82.9 84.73 86.58 88.45 90.34 92.25 94.18 96.13 98.1 
0.16 0.17 0.2 0.25 0.32 0.41 0.52 0.65 0.8 0.97 1.16 1.37 1.6 1.85 2.12 2.41 2.72 3.05 3.4 3.77 4.16 4.57 5 5.45 5.92 6.41 6.92 7.45 8 8.57 9.16 9.77 10.4 11.05 11.72 12.41 13.12 13.85 14.6 15.37 16.16 16.97 17.8 18.65 19.52 20.41 21.32 22.25 23.2 24.17 25.16 26.17 27.2 28.25 29.32 30.41 31.52 32.65 33.8 34.97 36.16 37.37 38.6 39.85 41.12 42.41 43.72 45.05 46.4 47.77 49.16 50.57 52 53.45 54.92 56.41 57.92 59.45 61 62.57 64.16 65.77 67.4 69.05 70.72 72.41 74.12 75.85 77.6 79.37 81.16 82.97 84.8 86.65 88.52 90.41 92.32 94.25 96.2 98.17 
0.25 0.26 0.29 0.34 0.41 0.5 0.61 0.74 0.89 1.06 1.25 1.46 1.69 1.94 2.21 2.5 2.81 3.14 3.49 3.86 4.25 4.66 5.09 5.54 6.01 6.5 7.01 7.54 8.09 8.66 9.25 9.86 10.49 11.14 11.81 12.5 13.21 13.94 14.69 15.46 16.25 17.06 17.89 18.74 19.61 20.5 21.41 22.34 23.29 24.26 25.25 26.26 27.29 28.34 29.41 30.5 31.61 32.74 33.89 35.06 36.25 37.46 38.69 39.94 41.21 42.5 43.81 45.14 46.49 47.86 49.25 50.66 52.09 53.54 55.01 56.5 58.01 59.54 61.09 62.66 64.25 65.86 67.49 69.14 70.81 72.5 74.21 75.94 77.69 79.46 81.25 83.06 84.89 86.74 88.61 90.5 92.41 94.34 96.29 98.26 
0.36 0.37 0.4 0.45 0.52 0.61 0.72 0.85 1 1.17 1.36 1.57 1.8 2.05 2.32 2.61 2.92 3.25 3.6 3.97 4.36 4.77 5.2 5.65 6.12 6.61 7.12 7.65 8.2 8.77 9.36 9.97 10.6 11.25 11.92 12.61 13.32 14.05 14.8 15.57 16.36 17.17 18 18.85 19.72 20.61 21.52 22.45 23.4 24.37 25.36 26.37 27.4 28.45 29.52 30.61 31.72 32.85 34 35.17 36.36 37.57 38.8 40.05 41.32 42.61 43.92 45.25 46.6 47.97 49.36 50.77 52.2 53.65 55.12 56.61 58.12 59.65 61.2 62.77 64.36 65.97 67.6 69.25 70.92 72.61 74.32 76.05 77.8 79.57 81.36 83.17 85 86.85 88.72 90.61 92.52 94.45 96.4 98.37 
0.49 0.5 0.53 0.58 0.65 0.74 0.85 0.98 1.13 1.3 1.49 1.7 1.93 2.18 2.45 2.74 3.05 3.38 3.73 4.1 4.49 4.9 5.33 5.78 6.25 6.74 7.25 7.78 8.33 8.9 9.49 10.1 10.73 11.38 12.05 12.74 13.45 14.18 14.93 15.7 16.49 17.3 18.13 18.98 19.85 20.74 21.65 22.58 23.53 24.5 25.49 26.5 27.53 28.58 29.65 30.74 31.85 32.98 34.13 35.3 36.49 37.7 38.93 40.18 41.45 42.74 44.05 45.38 46.73 48.1 49.49 50.9 52.33 53.78 55.25 56.74 58.25 59.78 61.33 62.9 64.49 66.1 67.73 69.38 71.05 72.74 74.45 76.18 77.93 79.7 81.49 83.3 85.13 86.98 88.85 90.74 92.65 94.58 96.53 98.5 
0.64 0.65 0.68 0.73 0.8 0.89 1 1.13 1.28 1.45 1.64 1.85 2.08 2.33 2.6 2.89 3.2 3.53 3.88 4.25 4.64 5.05 5.48 5.93 6.4 6.89 7.4 7.93 8.48 9.05 9.64 10.25 10.88 11.53 12.2 12.89 13.6 14.33 15.08 15.85 16.64 17.45 18.28 19.13 20 20.89 21.8 22.73 23.68 24.65 25.64 26.65 27.68 28.73 29.8 30.89 32 33.13 34.28 35.45 36.64 37.85 39.08 40.33 41.6 42.89 44.2 45.53 46.88 48.25 49.64 51.05 52.48 53.93 55.4 56.89 58.4 59.93 61.48 63.05 64.64 66.25 67.88 69.53 71.2 72.89 74.6 76.33 78.08 79.85 81.64 83.45 85.28 87.13 89 90.89 92.8 94.73 96.68 98.65 
0.81 0.82 0.85 0.9 0.97 1.06 1.17 1.3 1.45 1.62 1.81 2.02 2.25 2.5 2.77 3.06 3.37 3.7 4.05 4.42 4.81 5.22 5.65 6.1 6.57 7.06 7.57 8.1 8.65 9.22 9.81 10.42 11.05 11.7 12.37 13.06 13.77 14.5 15.25 16.02 16.81 17.62 18.45 19.3 20.17 21.06 21.97 22.9 23.85 24.82 25.81 26.82 27.85 28.9 29.97 31.06 32.17 33.3 34.45 35.62 36.81 38.02 39.25 40.5 41.77 43.06 44.37 45.7 47.05 48.42 49.81 51.22 52.65 54.1 55.57 57.06 58.57 60.1 61.65 63.22 64.81 66.42 68.05 69.7 71.37 73.06 74.77 76.5 78.25 80.02 81.81 83.62 85.45 87.3 89.17 91.06 92.97 94.9 96.85 98.82 
